subid,xd,xv,choice,cond,choice_category,trial
1512108,12,0,0,2,1,77
1512108,10,2,0,2,1,78
1512108,7,5,0,1,1,79
1512108,6,6,0,2,1,80
1512110,11,1,2,2,2,1
1512110,11,1,2,1,2,2
1512110,12,0,4,2,3,3
1512110,10,2,2,2,2,4
1512110,11,1,2,1,2,5
1512110,7,5,0,1,1,6
1512110,6,6,0,2,1,7
1512110,7,5,0,2,1,8
1512110,11,1,2,2,2,9
1512110,6,6,0,2,1,10
1512110,6,6,0,2,1,11
1512110,12,0,4,1,3,12
1512110,6,6,0,1,1,13
1512110,10,2,2,1,2,14
1512110,7,5,0,1,1,15
1512110,7,5,0,2,1,16
1512110,12,0,4,1,3,17
1512110,12,0,4,2,3,18
1512110,11,1,2,1,2,19
1512110,7,5,0,2,1,20
1512110,6,6,0,2,1,21
1512110,12,0,2,2,2,22
1512110,10,2,4,2,3,23
1512110,12,0,2,2,2,24
1512110,7,5,0,2,1,25
1512110,6,6,0,2,1,26
1512110,6,6,0,1,1,27
1512110,12,0,2,1,2,28
1512110,7,5,0,2,1,29
1512110,7,5,0,1,1,30
1512110,6,6,0,1,1,31
1512110,10,2,2,2,2,32
1512110,6,6,0,1,1,33
1512110,10,2,2,1,2,34
1512110,7,5,0,1,1,35
1512110,10,2,2,1,2,36
1512110,12,0,4,1,3,37
1512110,11,1,4,2,3,38
1512110,7,5,0,1,1,39
1512110,6,6,0,1,1,40
1512110,6,6,0,1,1,41
1512110,11,1,2,1,2,42
1512110,7,5,0,2,1,43
1512110,10,2,2,2,2,44
1512110,11,1,4,2,3,45
1512110,11,1,2,1,2,46
1512110,12,0,6,2,4,47
1512110,12,0,4,1,3,48
1512110,7,5,0,1,1,49
1512110,10,2,2,2,2,50
1512110,7,5,0,1,1,51
1512110,12,0,4,2,3,52
1512110,6,6,0,2,1,53
1512110,10,2,2,1,2,55
1512110,12,0,4,1,3,56
1512110,12,0,4,1,3,57
1512110,6,6,0,1,1,58
1512110,12,0,2,2,2,59
1512110,10,2,2,1,2,60
1512110,6,6,0,2,1,61
1512110,6,6,0,1,1,62
1512110,11,1,2,2,2,63
1512110,7,5,0,2,1,64
1512110,7,5,0,1,1,65
1512110,6,6,0,1,1,66
1512110,11,1,2,2,2,67
1512110,7,5,0,2,1,68
1512110,10,2,2,1,2,69
1512110,12,0,6,2,4,70
1512110,6,6,2,2,2,71
1512110,6,6,0,1,1,72
1512110,7,5,0,1,1,73
1512110,7,5,0,2,1,74
1512110,6,6,0,2,1,75
1512110,11,1,2,1,2,76
1512110,6,6,0,2,1,77
1512110,12,0,2,1,2,78
1512110,10,2,2,2,2,79
1512110,7,5,0,1,1,80
1512111,7,5,0,2,1,1
1512111,10,2,2,2,2,2
1512111,6,6,0,2,1,3
1512111,6,6,0,1,1,4
1512111,11,1,0,2,1,5
1512111,7,5,0,2,1,6
1512111,11,1,2,1,2,7
1512111,7,5,0,1,1,8
1512111,12,0,2,2,2,9
1512111,11,1,0,1,1,10
1512111,10,2,0,2,1,11
1512111,12,0,2,1,2,12
1512111,12,0,0,2,1,13
1512111,10,2,0,1,1,14
1512111,12,0,2,2,2,15
1512111,6,6,0,2,1,16
1512111,7,5,0,1,1,17
1512111,7,5,0,2,1,18
1512111,6,6,0,1,1,19
1512111,12,0,2,1,2,20
1512111,6,6,0,1,1,21
1512111,12,0,0,1,1,22
1512111,7,5,0,2,1,23
1512111,10,2,0,1,1,24
1512111,11,1,2,2,2,25
1512111,6,6,0,2,1,26
1512111,11,1,0,2,1,27
1512111,12,0,2,2,2,28
1512111,7,5,0,1,1,29
1512111,10,2,0,2,1,30
1512111,7,5,0,2,1,31
1512111,6,6,0,2,1,32
1512111,10,2,0,1,1,33
1512111,6,6,0,2,1,34
1512111,11,1,2,1,2,35
1512111,6,6,0,1,1,36
1512111,12,0,0,1,1,37
1512111,6,6,0,1,1,38
1512111,7,5,0,1,1,39
1512111,7,5,0,1,1,40
1512111,7,5,0,1,1,41
1512111,11,1,2,2,2,42
1512111,11,1,0,1,1,43
1512111,6,6,0,1,1,44
1512111,6,6,0,2,1,45
1512111,11,1,0,1,1,46
1512111,12,0,2,2,2,47
1512111,7,5,0,2,1,48
1512111,6,6,0,2,1,49
1512111,10,2,0,2,1,50
1512111,7,5,0,1,1,51
1512111,6,6,0,2,1,52
1512111,6,6,0,1,1,53
1512111,11,1,2,2,2,54
1512111,7,5,0,2,1,55
1512111,12,0,0,1,1,56
1512111,12,0,2,2,2,57
1512111,10,2,0,1,1,58
1512111,12,0,0,1,1,59
1512111,7,5,0,1,1,60
1512111,7,5,0,2,1,61
1512111,11,1,2,1,2,62
1512111,12,0,0,2,1,63
1512111,6,6,0,2,1,64
1512111,6,6,0,1,1,65
1512111,10,2,0,2,1,66
1512111,12,0,2,1,2,67
1512111,6,6,0,1,1,68
1512111,12,0,0,2,1,69
1512111,7,5,0,1,1,70
1512111,10,2,0,1,1,71
1512111,10,2,2,2,2,72
1512111,11,1,0,2,1,73
1512111,7,5,0,1,1,74
1512111,7,5,0,2,1,75
1512111,6,6,0,2,1,76
1512111,10,2,0,1,1,77
1512111,7,5,0,2,1,78
1512111,6,6,0,1,1,79
1512111,12,0,2,1,2,80
1512113,11,1,2,1,2,1
1512113,11,1,2,1,2,2
1512113,10,2,2,2,2,3
1512113,7,5,0,2,1,4
1512113,11,1,2,2,2,5
1512113,6,6,0,1,1,6
1512113,12,0,4,2,3,7
1512113,7,5,0,1,1,8
1512113,6,6,0,2,1,9
1512113,7,5,0,1,1,10
1512113,6,6,0,1,1,11
1512113,10,2,2,2,2,12
1512113,7,5,0,2,1,13
1512113,6,6,0,2,1,14
1512113,12,0,4,1,3,15
1512113,10,2,2,1,2,16
1512113,12,0,4,2,3,17
1512113,7,5,0,2,1,18
1512113,6,6,0,1,1,19
1512113,12,0,4,2,3,20
1512113,11,1,2,2,2,21
1512113,7,5,0,1,1,22
1512113,6,6,0,1,1,23
1512113,12,0,4,1,3,24
1512113,7,5,0,2,1,25
1512113,12,0,4,1,3,26
1512113,10,2,2,1,2,27
1512113,11,1,2,2,2,28
1512113,6,6,0,1,1,29
1512113,6,6,0,2,1,30
1512113,7,5,0,2,1,31
1512113,10,2,2,1,2,32
1512113,7,5,0,1,1,33
1512113,7,5,0,1,1,34
1512113,12,0,4,2,3,35
1512113,11,1,2,1,2,36
1512113,6,6,0,2,1,37
1512113,10,2,2,2,2,38
1512113,6,6,0,2,1,39
1512113,12,0,4,1,3,40
1512113,7,5,0,1,1,41
1512113,6,6,0,2,1,42
1512113,6,6,0,1,1,43
1512113,7,5,0,2,1,44
1512113,11,1,2,2,2,45
1512113,11,1,2,1,2,46
1512113,11,1,4,1,3,47
1512113,6,6,0,2,1,48
1512113,7,5,0,1,1,49
1512113,12,0,4,2,3,50
1512113,10,2,2,2,2,51
1512113,12,0,4,1,3,52
1512113,10,2,2,1,2,53
1512113,11,1,2,2,2,54
1512113,12,0,4,1,3,55
1512113,11,1,2,1,2,56
1512113,12,0,4,2,3,57
1512113,6,6,0,2,1,58
1512113,7,5,0,2,1,59
1512113,12,0,4,2,3,60
1512113,12,0,4,1,3,61
1512113,7,5,0,2,1,62
1512113,6,6,0,2,1,63
1512113,10,2,2,1,2,64
1512113,7,5,0,2,1,65
1512113,10,2,2,2,2,66
1512113,6,6,0,1,1,67
1512113,12,0,4,2,3,68
1512113,7,5,0,1,1,69
1512113,10,2,2,2,2,70
1512113,6,6,0,1,1,71
1512113,6,6,0,2,1,72
1512113,6,6,0,1,1,73
1512113,10,2,2,1,2,74
1512113,12,0,4,1,3,75
1512113,11,1,2,2,2,76
1512113,7,5,0,2,1,77
1512113,7,5,0,1,1,78
1512113,7,5,0,1,1,79
1512113,6,6,0,1,1,80
1512114,10,2,0,2,1,1
1512114,11,1,0,1,1,2
1512114,11,1,0,2,1,3
1512114,12,0,2,2,2,4
1512114,11,1,0,1,1,5
1512114,6,6,0,1,1,6
1512114,7,5,0,2,1,7
1512114,6,6,0,2,1,8
1512114,10,2,0,2,1,9
1512114,7,5,0,2,1,10
1512114,6,6,0,2,1,11
1512114,12,0,2,1,2,12
